Chan,Energy,Counts
687,  1673.08,0
688,  1675.65,0
689,  1678.21,0
690,  1680.77,0
691,  1683.34,0
692,  1685.90,0
693,  1688.47,0
694,  1691.03,0
695,  1693.60,0
696,  1696.16,0
697,  1698.73,0
698,  1701.29,0
699,  1703.85,0
700,  1706.42,0
701,  1708.98,0
702,  1711.55,0
703,  1714.11,0
704,  1716.68,0
705,  1719.24,0
706,  1721.81,0
707,  1724.37,0
708,  1726.94,1
709,  1729.50,0
710,  1732.06,0
711,  1734.63,0
712,  1737.19,0
713,  1739.76,0
714,  1742.32,0
715,  1744.89,0
716,  1747.45,0
717,  1750.02,0
718,  1752.58,0
719,  1755.15,0
720,  1757.71,0
721,  1760.27,0
722,  1762.84,0
723,  1765.40,0
724,  1767.97,0
725,  1770.53,0
726,  1773.10,0
727,  1775.66,0
728,  1778.23,0
729,  1780.79,0
730,  1783.35,0
731,  1785.92,0
732,  1788.48,0
733,  1791.05,0
734,  1793.61,0
735,  1796.18,0
736,  1798.74,0
737,  1801.31,0
738,  1803.87,0
739,  1806.44,0
740,  1809.00,0
741,  1811.56,0
742,  1814.13,0
743,  1816.69,1
744,  1819.26,0
745,  1821.82,0
746,  1824.39,0
747,  1826.95,0
748,  1829.52,0
749,  1832.08,0
750,  1834.65,1
751,  1837.21,0
752,  1839.77,0
753,  1842.34,0
754,  1844.90,0
755,  1847.47,0
756,  1850.03,0
757,  1852.60,0
758,  1855.16,0
759,  1857.73,0
760,  1860.29,0
761,  1862.85,0
762,  1865.42,0
763,  1867.98,0
764,  1870.55,0
765,  1873.11,0
766,  1875.68,0
767,  1878.24,0
768,  1880.81,0
769,  1883.37,0
770,  1885.94,0
771,  1888.50,0
772,  1891.06,0
773,  1893.63,0
774,  1896.19,1
775,  1898.76,0
776,  1901.32,0
777,  1903.89,0
778,  1906.45,0
779,  1909.02,0
780,  1911.58,0
781,  1914.15,0
782,  1916.71,0
783,  1919.27,0
784,  1921.84,0
785,  1924.40,0
786,  1926.97,0
787,  1929.53,0
788,  1932.10,0
789,  1934.66,0
790,  1937.23,0
791,  1939.79,0
792,  1942.35,0
793,  1944.92,0
794,  1947.48,0
795,  1950.05,0
796,  1952.61,0
797,  1955.18,0
798,  1957.74,0
799,  1960.31,0
800,  1962.87,0
801,  1965.44,0
802,  1968.00,0
803,  1970.56,0
804,  1973.13,0
805,  1975.69,0
806,  1978.26,0
807,  1980.82,0
808,  1983.39,0
809,  1985.95,0
810,  1988.52,0
811,  1991.08,0
812,  1993.65,0
813,  1996.21,0
814,  1998.77,0
815,  2001.34,0
816,  2003.90,0
817,  2006.47,0
818,  2009.03,0
819,  2011.60,0
820,  2014.16,0
821,  2016.73,0
822,  2019.29,0
823,  2021.85,0
824,  2024.42,0
825,  2026.98,0
826,  2029.55,0
827,  2032.11,0
828,  2034.68,0
829,  2037.24,0
830,  2039.81,0
831,  2042.37,0
832,  2044.94,0
833,  2047.50,0
834,  2050.06,0
835,  2052.63,0
836,  2055.19,0
837,  2057.76,0
838,  2060.32,0
839,  2062.89,0
840,  2065.45,0
841,  2068.02,0
842,  2070.58,0
843,  2073.15,0
844,  2075.71,0
845,  2078.27,0
846,  2080.84,0
847,  2083.40,0
848,  2085.97,1
849,  2088.53,0
850,  2091.10,0
851,  2093.66,0
852,  2096.23,0
853,  2098.79,0
854,  2101.35,0
855,  2103.92,0
856,  2106.48,0
857,  2109.05,0
858,  2111.61,0
859,  2114.18,0
860,  2116.74,0
861,  2119.31,0
862,  2121.87,0
863,  2124.44,0
864,  2127.00,0
865,  2129.56,0
866,  2132.13,0
867,  2134.69,0
868,  2137.26,0
869,  2139.82,0
870,  2142.39,0
871,  2144.95,0
872,  2147.52,1
873,  2150.08,0
874,  2152.65,0
875,  2155.21,0
876,  2157.77,0
877,  2160.34,0
878,  2162.90,0
879,  2165.47,0
880,  2168.03,0
881,  2170.60,0
882,  2173.16,0
883,  2175.73,0
884,  2178.29,0
885,  2180.85,0
886,  2183.42,0
887,  2185.98,0
888,  2188.55,0
889,  2191.11,0
890,  2193.68,0
891,  2196.24,0
892,  2198.81,1
893,  2201.37,0
894,  2203.94,0
895,  2206.50,0
896,  2209.06,0
897,  2211.63,0
898,  2214.19,0
899,  2216.76,0
900,  2219.32,0
901,  2221.89,0
902,  2224.45,0
903,  2227.02,0
