Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,101.40
Live Time Elapsed:,100.00
Start Time:,Tuesday, January 21, 2025, 14:01:41
End Time:,Tuesday, January 21, 2025, 14:03:23

Channel Data:
Chan,Energy,Counts
695,  1693.60,7
696,  1696.16,4
697,  1698.73,4
698,  1701.29,2
699,  1703.85,7
700,  1706.42,2
701,  1708.98,7
702,  1711.55,6
703,  1714.11,9
704,  1716.68,9
705,  1719.24,4
706,  1721.81,7
707,  1724.37,2
708,  1726.94,4
709,  1729.50,5
710,  1732.06,4
711,  1734.63,5
712,  1737.19,6
713,  1739.76,5
714,  1742.32,3
715,  1744.89,1
716,  1747.45,5
717,  1750.02,4
718,  1752.58,3
719,  1755.15,4
720,  1757.71,5
721,  1760.27,3
722,  1762.84,3
723,  1765.40,4
724,  1767.97,0
725,  1770.53,6
726,  1773.10,3
727,  1775.66,4
728,  1778.23,8
729,  1780.79,5
730,  1783.35,3
731,  1785.92,4
732,  1788.48,4
733,  1791.05,3
734,  1793.61,4
735,  1796.18,8
736,  1798.74,6
737,  1801.31,3
738,  1803.87,2
739,  1806.44,5
740,  1809.00,5
741,  1811.56,8
742,  1814.13,6
743,  1816.69,6
744,  1819.26,5
745,  1821.82,4
746,  1824.39,4
747,  1826.95,6
748,  1829.52,4
749,  1832.08,3
750,  1834.65,10
751,  1837.21,5
752,  1839.77,3
753,  1842.34,4
754,  1844.90,3
755,  1847.47,3
756,  1850.03,4
757,  1852.60,5
758,  1855.16,4
759,  1857.73,7
760,  1860.29,2
761,  1862.85,3
762,  1865.42,4
763,  1867.98,3
764,  1870.55,3
765,  1873.11,2
766,  1875.68,6
767,  1878.24,4
768,  1880.81,4
769,  1883.37,4
770,  1885.94,3
771,  1888.50,4
772,  1891.06,4
773,  1893.63,8
774,  1896.19,2
775,  1898.76,3
776,  1901.32,7
777,  1903.89,5
778,  1906.45,3
779,  1909.02,0
780,  1911.58,4
781,  1914.15,4
782,  1916.71,3
783,  1919.27,7
784,  1921.84,4
785,  1924.40,3
786,  1926.97,3
787,  1929.53,1
788,  1932.10,2
789,  1934.66,3
790,  1937.23,5
791,  1939.79,2
792,  1942.35,3
793,  1944.92,1
794,  1947.48,2
795,  1950.05,3
796,  1952.61,0
797,  1955.18,2
798,  1957.74,6
799,  1960.31,2
800,  1962.87,3
801,  1965.44,3
802,  1968.00,6
803,  1970.56,2
804,  1973.13,5
805,  1975.69,0
806,  1978.26,5
807,  1980.82,2
808,  1983.39,6
809,  1985.95,3
810,  1988.52,0
811,  1991.08,4
812,  1993.65,7
813,  1996.21,5
814,  1998.77,5
815,  2001.34,2
816,  2003.90,2
817,  2006.47,6
818,  2009.03,5
819,  2011.60,2
820,  2014.16,3
821,  2016.73,4
822,  2019.29,3
823,  2021.85,3
824,  2024.42,1
825,  2026.98,4
826,  2029.55,5
827,  2032.11,4
828,  2034.68,4
829,  2037.24,3
830,  2039.81,4
831,  2042.37,3
832,  2044.94,6
833,  2047.50,5
834,  2050.06,5
835,  2052.63,3
836,  2055.19,4
837,  2057.76,2
838,  2060.32,5
839,  2062.89,2
840,  2065.45,3
841,  2068.02,5
842,  2070.58,1
843,  2073.15,3
844,  2075.71,1
845,  2078.27,4
846,  2080.84,9
847,  2083.40,3
848,  2085.97,3
849,  2088.53,4
850,  2091.10,5
851,  2093.66,2
852,  2096.23,5
853,  2098.79,2
854,  2101.35,4
855,  2103.92,1
856,  2106.48,5
857,  2109.05,3
858,  2111.61,5
859,  2114.18,5
860,  2116.74,2
861,  2119.31,5
862,  2121.87,6
863,  2124.44,5
864,  2127.00,5
865,  2129.56,3
866,  2132.13,5
867,  2134.69,1
868,  2137.26,4
869,  2139.82,7
870,  2142.39,1
871,  2144.95,3
872,  2147.52,2
873,  2150.08,1
874,  2152.65,7
875,  2155.21,6
876,  2157.77,6
877,  2160.34,3
878,  2162.90,1
879,  2165.47,2
880,  2168.03,4
881,  2170.60,4
882,  2173.16,5
883,  2175.73,9
884,  2178.29,1
885,  2180.85,5
886,  2183.42,5
887,  2185.98,3
888,  2188.55,2
889,  2191.11,0
890,  2193.68,1
891,  2196.24,1
892,  2198.81,4
893,  2201.37,4
894,  2203.94,4
895,  2206.50,4
896,  2209.06,5
897,  2211.63,3
898,  2214.19,2
899,  2216.76,3
900,  2219.32,2
901,  2221.89,3
902,  2224.45,3
903,  2227.02,4
904,  2229.58,3
905,  2232.15,3
906,  2234.71,2
907,  2237.27,4
908,  2239.84,4
909,  2242.40,3
910,  2244.97,2
911,  2247.53,1
912,  2250.10,1
913,  2252.66,0
914,  2255.23,2
915,  2257.79,5
916,  2260.35,6
917,  2262.92,4
918,  2265.48,2
919,  2268.05,2
920,  2270.61,1
921,  2273.18,1
922,  2275.74,0
923,  2278.31,2
924,  2280.87,1
925,  2283.44,0
926,  2286.00,0
927,  2288.56,3
928,  2291.13,1
929,  2293.69,1
930,  2296.26,4
931,  2298.82,1
932,  2301.39,0
933,  2303.95,1
934,  2306.52,2
935,  2309.08,0
936,  2311.65,0
937,  2314.21,1
938,  2316.77,2
939,  2319.34,1
940,  2321.90,1
941,  2324.47,1
942,  2327.03,0
943,  2329.60,0
944,  2332.16,0
945,  2334.73,1
946,  2337.29,1
947,  2339.85,1
948,  2342.42,0
949,  2344.98,1
950,  2347.55,2
951,  2350.11,1
952,  2352.68,2
953,  2355.24,1
954,  2357.81,0
955,  2360.37,1
956,  2362.94,1
957,  2365.50,0
958,  2368.06,0
959,  2370.63,1
960,  2373.19,0
961,  2375.76,3
962,  2378.32,2
963,  2380.89,1
964,  2383.45,2
965,  2386.02,1
966,  2388.58,0
967,  2391.15,3
968,  2393.71,3
969,  2396.27,3
970,  2398.84,1
971,  2401.40,4
972,  2403.97,0
973,  2406.53,2
974,  2409.10,1
975,  2411.66,3
976,  2414.23,5
977,  2416.79,3
978,  2419.35,0
979,  2421.92,4
980,  2424.48,1
981,  2427.05,4
982,  2429.61,0
983,  2432.18,2
984,  2434.74,1
985,  2437.31,1
986,  2439.87,4
987,  2442.44,5
988,  2445.00,3
989,  2447.56,2
990,  2450.13,5
991,  2452.69,4
992,  2455.26,5
993,  2457.82,5
994,  2460.39,5
995,  2462.95,1
996,  2465.52,3
997,  2468.08,2
998,  2470.65,1
999,  2473.21,7
1000,  2475.77,2
1001,  2478.34,0
1002,  2480.90,1
1003,  2483.47,2
1004,  2486.03,2
1005,  2488.60,2
1006,  2491.16,0
1007,  2493.73,2
1008,  2496.29,1
1009,  2498.85,3
1010,  2501.42,0
1011,  2503.98,3
1012,  2506.55,1
1013,  2509.11,2
1014,  2511.68,6
1015,  2514.24,0
1016,  2516.81,0
1017,  2519.37,0
1018,  2521.94,2
1019,  2524.50,1
1020,  2527.06,0
1021,  2529.63,1
1022,  2532.19,1
1023,  2534.76,1
