Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.82
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:50:47
End Time:,Tuesday, January 21, 2025, 14:51:48

Channel Data:
Chan,Energy,Counts
574,  1383.29,22
575,  1385.85,17
576,  1388.42,21
577,  1390.98,25
578,  1393.55,17
579,  1396.11,14
580,  1398.68,16
581,  1401.24,12
582,  1403.81,11
583,  1406.37,15
584,  1408.94,8
585,  1411.50,11
586,  1414.06,9
587,  1416.63,8
588,  1419.19,12
589,  1421.76,13
590,  1424.32,7
591,  1426.89,10
592,  1429.45,11
593,  1432.02,9
594,  1434.58,8
595,  1437.15,7
596,  1439.71,8
597,  1442.27,9
598,  1444.84,7
599,  1447.40,6
600,  1449.97,4
601,  1452.53,6
602,  1455.10,8
603,  1457.66,6
604,  1460.23,2
605,  1462.79,4
606,  1465.35,9
607,  1467.92,3
608,  1470.48,2
609,  1473.05,7
610,  1475.61,5
611,  1478.18,6
612,  1480.74,10
613,  1483.31,9
614,  1485.87,4
615,  1488.44,5
616,  1491.00,5
617,  1493.56,5
618,  1496.13,6
619,  1498.69,6
620,  1501.26,7
621,  1503.82,1
622,  1506.39,5
623,  1508.95,4
624,  1511.52,4
625,  1514.08,3
626,  1516.65,6
627,  1519.21,8
628,  1521.77,1
629,  1524.34,2
630,  1526.90,5
631,  1529.47,8
632,  1532.03,2
633,  1534.60,3
634,  1537.16,5
635,  1539.73,3
636,  1542.29,6
637,  1544.85,0
638,  1547.42,4
639,  1549.98,4
640,  1552.55,2
641,  1555.11,6
642,  1557.68,2
643,  1560.24,6
644,  1562.81,5
645,  1565.37,4
646,  1567.94,3
647,  1570.50,3
648,  1573.06,4
649,  1575.63,4
650,  1578.19,4
651,  1580.76,1
652,  1583.32,1
653,  1585.89,6
654,  1588.45,5
655,  1591.02,2
656,  1593.58,3
657,  1596.15,4
658,  1598.71,4
659,  1601.27,4
660,  1603.84,7
661,  1606.40,4
662,  1608.97,2
663,  1611.53,2
664,  1614.10,7
665,  1616.66,2
666,  1619.23,2
667,  1621.79,5
668,  1624.35,1
669,  1626.92,2
670,  1629.48,4
671,  1632.05,4
672,  1634.61,5
673,  1637.18,3
674,  1639.74,2
675,  1642.31,5
676,  1644.87,1
677,  1647.44,3
678,  1650.00,7
679,  1652.56,3
680,  1655.13,1
681,  1657.69,1
682,  1660.26,4
683,  1662.82,4
684,  1665.39,5
685,  1667.95,6
686,  1670.52,4
687,  1673.08,1
688,  1675.65,3
689,  1678.21,3
690,  1680.77,3
691,  1683.34,5
692,  1685.90,3
693,  1688.47,1
694,  1691.03,2
695,  1693.60,2
696,  1696.16,5
697,  1698.73,4
698,  1701.29,2
699,  1703.85,5
700,  1706.42,3
701,  1708.98,0
702,  1711.55,4
703,  1714.11,2
704,  1716.68,0
705,  1719.24,2
706,  1721.81,2
707,  1724.37,3
708,  1726.94,6
709,  1729.50,1
710,  1732.06,4
711,  1734.63,3
712,  1737.19,4
713,  1739.76,4
714,  1742.32,3
715,  1744.89,2
716,  1747.45,4
717,  1750.02,3
718,  1752.58,2
719,  1755.15,5
720,  1757.71,1
721,  1760.27,7
722,  1762.84,5
723,  1765.40,4
724,  1767.97,3
725,  1770.53,1
726,  1773.10,3
727,  1775.66,3
728,  1778.23,2
729,  1780.79,1
730,  1783.35,1
731,  1785.92,3
732,  1788.48,3
733,  1791.05,1
734,  1793.61,4
735,  1796.18,4
736,  1798.74,4
737,  1801.31,2
738,  1803.87,2
739,  1806.44,3
740,  1809.00,3
741,  1811.56,4
742,  1814.13,3
743,  1816.69,2
744,  1819.26,0
745,  1821.82,9
746,  1824.39,3
747,  1826.95,4
748,  1829.52,2
749,  1832.08,2
750,  1834.65,4
751,  1837.21,2
752,  1839.77,4
753,  1842.34,2
754,  1844.90,4
755,  1847.47,2
756,  1850.03,3
757,  1852.60,2
758,  1855.16,5
759,  1857.73,0
760,  1860.29,2
761,  1862.85,3
