Chan,Energy,Counts
706,  1721.81,7
707,  1724.37,10
708,  1726.94,1
709,  1729.50,4
710,  1732.06,2
711,  1734.63,3
712,  1737.19,3
713,  1739.76,4
714,  1742.32,4
715,  1744.89,7
716,  1747.45,5
717,  1750.02,2
718,  1752.58,1
719,  1755.15,1
720,  1757.71,9
721,  1760.27,3
722,  1762.84,4
723,  1765.40,10
724,  1767.97,4
725,  1770.53,4
726,  1773.10,2
727,  1775.66,2
728,  1778.23,5
729,  1780.79,2
730,  1783.35,3
731,  1785.92,2
732,  1788.48,3
733,  1791.05,5
734,  1793.61,9
735,  1796.18,7
736,  1798.74,2
737,  1801.31,5
738,  1803.87,4
739,  1806.44,4
740,  1809.00,2
741,  1811.56,6
742,  1814.13,3
743,  1816.69,5
744,  1819.26,2
745,  1821.82,5
746,  1824.39,1
747,  1826.95,6
748,  1829.52,6
749,  1832.08,4
750,  1834.65,0
751,  1837.21,2
752,  1839.77,4
753,  1842.34,1
754,  1844.90,1
755,  1847.47,4
756,  1850.03,2
757,  1852.60,2
758,  1855.16,4
759,  1857.73,3
760,  1860.29,5
761,  1862.85,3
762,  1865.42,5
763,  1867.98,6
764,  1870.55,2
765,  1873.11,7
766,  1875.68,2
767,  1878.24,4
768,  1880.81,4
769,  1883.37,6
770,  1885.94,5
771,  1888.50,5
772,  1891.06,7
773,  1893.63,2
774,  1896.19,5
775,  1898.76,5
776,  1901.32,3
777,  1903.89,6
778,  1906.45,5
779,  1909.02,0
780,  1911.58,3
781,  1914.15,6
782,  1916.71,5
783,  1919.27,4
784,  1921.84,4
785,  1924.40,2
786,  1926.97,2
787,  1929.53,2
788,  1932.10,2
789,  1934.66,6
790,  1937.23,7
791,  1939.79,2
792,  1942.35,4
793,  1944.92,3
794,  1947.48,7
795,  1950.05,6
796,  1952.61,4
797,  1955.18,6
798,  1957.74,5
799,  1960.31,2
800,  1962.87,1
801,  1965.44,6
802,  1968.00,4
803,  1970.56,2
804,  1973.13,1
805,  1975.69,4
806,  1978.26,2
807,  1980.82,2
808,  1983.39,2
809,  1985.95,2
810,  1988.52,2
811,  1991.08,2
812,  1993.65,4
813,  1996.21,4
814,  1998.77,5
815,  2001.34,1
816,  2003.90,2
817,  2006.47,3
818,  2009.03,3
819,  2011.60,1
820,  2014.16,3
821,  2016.73,3
822,  2019.29,5
823,  2021.85,6
824,  2024.42,3
825,  2026.98,1
826,  2029.55,5
827,  2032.11,3
828,  2034.68,3
829,  2037.24,1
830,  2039.81,0
831,  2042.37,5
832,  2044.94,4
833,  2047.50,3
834,  2050.06,4
835,  2052.63,5
836,  2055.19,5
837,  2057.76,2
838,  2060.32,6
839,  2062.89,1
840,  2065.45,6
841,  2068.02,4
842,  2070.58,3
843,  2073.15,6
844,  2075.71,2
845,  2078.27,6
846,  2080.84,4
847,  2083.40,6
848,  2085.97,5
849,  2088.53,2
850,  2091.10,4
851,  2093.66,5
852,  2096.23,11
853,  2098.79,3
854,  2101.35,5
855,  2103.92,2
856,  2106.48,3
857,  2109.05,4
858,  2111.61,2
859,  2114.18,5
860,  2116.74,3
861,  2119.31,3
862,  2121.87,2
863,  2124.44,2
864,  2127.00,5
865,  2129.56,4
866,  2132.13,2
867,  2134.69,3
868,  2137.26,2
869,  2139.82,3
870,  2142.39,3
871,  2144.95,3
872,  2147.52,3
873,  2150.08,4
874,  2152.65,2
875,  2155.21,3
876,  2157.77,4
877,  2160.34,3
878,  2162.90,0
879,  2165.47,4
880,  2168.03,1
881,  2170.60,6
882,  2173.16,7
883,  2175.73,3
884,  2178.29,2
885,  2180.85,1
886,  2183.42,3
887,  2185.98,5
888,  2188.55,4
889,  2191.11,1
890,  2193.68,2
891,  2196.24,5
892,  2198.81,2
893,  2201.37,2
894,  2203.94,3
895,  2206.50,3
896,  2209.06,4
897,  2211.63,4
898,  2214.19,5
899,  2216.76,3
900,  2219.32,1
901,  2221.89,5
902,  2224.45,4
903,  2227.02,6
904,  2229.58,3
905,  2232.15,1
906,  2234.71,1
907,  2237.27,4
908,  2239.84,2
909,  2242.40,2
910,  2244.97,1
911,  2247.53,2
912,  2250.10,2
913,  2252.66,0
914,  2255.23,1
915,  2257.79,3
916,  2260.35,0
917,  2262.92,0
918,  2265.48,3
919,  2268.05,0
920,  2270.61,0
921,  2273.18,3
922,  2275.74,0
923,  2278.31,0
924,  2280.87,1
925,  2283.44,3
926,  2286.00,0
927,  2288.56,0
928,  2291.13,3
929,  2293.69,1
930,  2296.26,2
931,  2298.82,1
932,  2301.39,2
933,  2303.95,0
934,  2306.52,1
935,  2309.08,0
936,  2311.65,3
937,  2314.21,0
938,  2316.77,0
939,  2319.34,0
940,  2321.90,0
941,  2324.47,2
942,  2327.03,1
943,  2329.60,1
944,  2332.16,2
945,  2334.73,4
946,  2337.29,0
947,  2339.85,0
948,  2342.42,3
949,  2344.98,2
950,  2347.55,1
951,  2350.11,4
952,  2352.68,0
953,  2355.24,0
954,  2357.81,1
955,  2360.37,4
956,  2362.94,3
957,  2365.50,0
958,  2368.06,1
959,  2370.63,2
960,  2373.19,3
961,  2375.76,2
962,  2378.32,3
963,  2380.89,2
964,  2383.45,1
965,  2386.02,3
966,  2388.58,3
967,  2391.15,5
968,  2393.71,5
969,  2396.27,2
970,  2398.84,2
971,  2401.40,0
972,  2403.97,2
973,  2406.53,4
974,  2409.10,1
975,  2411.66,3
976,  2414.23,3
977,  2416.79,4
978,  2419.35,2
979,  2421.92,7
980,  2424.48,1
981,  2427.05,4
982,  2429.61,4
983,  2432.18,1
984,  2434.74,1
985,  2437.31,1
986,  2439.87,2
987,  2442.44,3
988,  2445.00,2
989,  2447.56,3
990,  2450.13,0
991,  2452.69,1
992,  2455.26,4
993,  2457.82,5
994,  2460.39,3
995,  2462.95,1
996,  2465.52,4
997,  2468.08,2
998,  2470.65,1
999,  2473.21,1
1000,  2475.77,2
1001,  2478.34,1
1002,  2480.90,2
1003,  2483.47,4
1004,  2486.03,1
1005,  2488.60,1
1006,  2491.16,0
1007,  2493.73,1
1008,  2496.29,0
1009,  2498.85,0
1010,  2501.42,2
1011,  2503.98,0
1012,  2506.55,1
1013,  2509.11,0
1014,  2511.68,0
1015,  2514.24,0
1016,  2516.81,0
1017,  2519.37,1
1018,  2521.94,0
1019,  2524.50,0
1020,  2527.06,0
1021,  2529.63,0
1022,  2532.19,2
1023,  2534.76,2
