Chan,Energy,Counts
809,  1985.95,0
810,  1988.52,0
811,  1991.08,0
812,  1993.65,0
813,  1996.21,0
814,  1998.77,0
815,  2001.34,0
816,  2003.90,0
817,  2006.47,0
818,  2009.03,1
819,  2011.60,0
820,  2014.16,0
821,  2016.73,0
822,  2019.29,0
823,  2021.85,0
824,  2024.42,0
825,  2026.98,0
826,  2029.55,0
827,  2032.11,0
828,  2034.68,0
829,  2037.24,0
830,  2039.81,0
831,  2042.37,1
832,  2044.94,0
833,  2047.50,0
834,  2050.06,0
835,  2052.63,1
836,  2055.19,0
837,  2057.76,0
838,  2060.32,0
839,  2062.89,0
840,  2065.45,0
841,  2068.02,0
842,  2070.58,0
843,  2073.15,0
844,  2075.71,1
845,  2078.27,0
846,  2080.84,0
847,  2083.40,0
848,  2085.97,0
849,  2088.53,0
850,  2091.10,1
851,  2093.66,0
852,  2096.23,0
853,  2098.79,1
854,  2101.35,0
855,  2103.92,0
856,  2106.48,0
857,  2109.05,0
858,  2111.61,0
859,  2114.18,0
860,  2116.74,0
861,  2119.31,0
862,  2121.87,1
863,  2124.44,0
864,  2127.00,0
865,  2129.56,0
866,  2132.13,0
867,  2134.69,0
868,  2137.26,1
869,  2139.82,0
870,  2142.39,0
871,  2144.95,0
872,  2147.52,0
873,  2150.08,0
874,  2152.65,0
875,  2155.21,0
876,  2157.77,0
877,  2160.34,0
878,  2162.90,0
879,  2165.47,0
880,  2168.03,0
881,  2170.60,0
882,  2173.16,0
883,  2175.73,0
884,  2178.29,0
885,  2180.85,0
886,  2183.42,0
887,  2185.98,1
888,  2188.55,0
889,  2191.11,0
890,  2193.68,0
891,  2196.24,0
892,  2198.81,0
893,  2201.37,0
894,  2203.94,0
895,  2206.50,1
896,  2209.06,0
897,  2211.63,0
898,  2214.19,0
899,  2216.76,0
900,  2219.32,1
901,  2221.89,0
902,  2224.45,1
903,  2227.02,0
904,  2229.58,0
905,  2232.15,0
906,  2234.71,0
907,  2237.27,0
908,  2239.84,0
909,  2242.40,0
910,  2244.97,0
911,  2247.53,0
912,  2250.10,0
913,  2252.66,0
914,  2255.23,1
915,  2257.79,0
916,  2260.35,0
917,  2262.92,0
918,  2265.48,0
919,  2268.05,0
920,  2270.61,1
921,  2273.18,0
922,  2275.74,0
923,  2278.31,0
924,  2280.87,0
925,  2283.44,0
926,  2286.00,0
927,  2288.56,0
928,  2291.13,0
929,  2293.69,1
930,  2296.26,0
931,  2298.82,0
932,  2301.39,0
933,  2303.95,0
934,  2306.52,0
935,  2309.08,0
936,  2311.65,0
937,  2314.21,0
938,  2316.77,0
939,  2319.34,0
940,  2321.90,0
941,  2324.47,0
942,  2327.03,0
943,  2329.60,0
944,  2332.16,0
945,  2334.73,0
946,  2337.29,0
947,  2339.85,0
948,  2342.42,0
949,  2344.98,0
950,  2347.55,0
951,  2350.11,0
952,  2352.68,0
953,  2355.24,0
954,  2357.81,1
955,  2360.37,0
956,  2362.94,0
957,  2365.50,0
958,  2368.06,0
959,  2370.63,0
960,  2373.19,0
961,  2375.76,0
962,  2378.32,0
963,  2380.89,0
964,  2383.45,0
965,  2386.02,0
966,  2388.58,0
967,  2391.15,1
968,  2393.71,0
969,  2396.27,0
970,  2398.84,0
971,  2401.40,0
972,  2403.97,0
973,  2406.53,0
974,  2409.10,0
975,  2411.66,0
976,  2414.23,0
977,  2416.79,0
978,  2419.35,0
979,  2421.92,0
980,  2424.48,0
981,  2427.05,0
982,  2429.61,0
983,  2432.18,0
984,  2434.74,0
985,  2437.31,0
986,  2439.87,0
987,  2442.44,0
988,  2445.00,0
989,  2447.56,0
990,  2450.13,0
991,  2452.69,1
992,  2455.26,0
993,  2457.82,0
994,  2460.39,0
995,  2462.95,0
996,  2465.52,0
997,  2468.08,1
998,  2470.65,0
999,  2473.21,0
1000,  2475.77,0
1001,  2478.34,0
1002,  2480.90,0
1003,  2483.47,0
1004,  2486.03,0
1005,  2488.60,0
1006,  2491.16,0
1007,  2493.73,0
1008,  2496.29,0
1009,  2498.85,0
1010,  2501.42,0
1011,  2503.98,0
1012,  2506.55,0
1013,  2509.11,0
1014,  2511.68,0
1015,  2514.24,0
1016,  2516.81,0
1017,  2519.37,0
1018,  2521.94,0
1019,  2524.50,0
1020,  2527.06,0
1021,  2529.63,1
1022,  2532.19,0
1023,  2534.76,0
